video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
2sCmWmOGqMY,F1 Formula Racing in Virtual reality - Grand Prix Race Highlights 3D VR SBS HTC Vive,369,3007,2235124,10730,98,VR World,17200
0nKvq57G4zU,Playing The BANNED Spider-Man VR Game,667,138,438809,5113,176,Nathie,794000
dKWkHsuaNS8,I Became a Night Club SECURITY GUARD.. (VR),1209,235,4579273,28587,1985,Caylus  ,19600000
G70yE0AEAcI,PC VR IS REALLY CHEAP RIGHT NOW (MAYBE?),658,13,39708,2523,371,MadmanEpic,17700
Nl-ly1osxTc,100 Ways To DESTROY TEACHER (VR School),896,1318,11421954,191993,1431,ProjectJamesify,5120000
e1SblwZzV9Y,Helping George ESCAPE The Zoo? - I Am Monkey VR (New Game),614,5,131753,1298,142,VR Central,389000
nyJUza39ELE,What Virtual Reality Is Like For Someone Who Doesn't Play Games,1107,1825,985747,58459,2709,Razbuten,900000
MlM3F5vs370,"Top 15 Open-world VR Games You Should Play In 2025! For Meta Quest 3, PSVR 2 & PCVR",1489,125,100177,1214,84,Retro Pocket,47200
ALrzu5DRf-c,Best VR Fails & Wins (2022),306,1169,2009179,14898,799,Smart Glasses Hub,5470
rsXAAABqq8M,Playing HELLDIVERS 2 in Virtual Reality - Bonelab VR Mods,608,543,987899,7987,162,Fudgy,4160000
KZScGAAGfRM,RDC PLAYS HORROR VR GAMES (Devour + Yokai Hunters + Phasmophobia),7666,0,103656,4522,299,RDC Live,602000
qq1dTbrG264,360° Dinosaur Roller Coaster Ride 2 – Epic VR Jurassic World Adventure,211,111,735677,1807,26,Player One 360,68200
oL--PU39Xio,Marvel's Deadpool VR - Official Reveal Trailer | Summer Game Fest 2025,84,135,733569,18353,1684,IGN,19400000
1YMCOd5NLOA,I Spent an Entire NFL Season in VR Football,3944,560,1180706,11775,357,Not The Expert,810000
woTTXW1ber0,Most Realistic Meta Quest 3 VR Games With The Best Graphics In 2025,584,125,171436,1956,253,Gamertag VR,89600
VBXy-MY-vtE,Actually VR 360° I Am Cat - Escape to Girlfriend,104,392,7065399,23218,199,VR Proof 360,68900
0yMnUjBMNB4,NEW Virtual Reality Physics Playground (PhysiX Playground VR),755,1,11761,220,9,WhackyCast,1540000
5qYk5_hXA3k,TROLLING a Tiny Person in Virtual Reality - Davigo VR Gameplay,681,1089,2774951,23264,192,Fudgy,4160000
U8JYfgB4dPM,THE BEST META QUEST 3 GAMES! Top 20 Essential Meta Quest VR Games,694,300,580587,6220,422,Gamertag VR,89600
5arDSMi7i-M,I'm Deleting My VR Game,618,1,235281,5835,2047,jmancurly,4830000
JPmhRsDPzKs,This Spider-Man VR Game is AMAZING! (Oculus Meta Quest 2),748,1399,4003664,31617,1337,Nathie,794000
D7HNXHYDPw0,VR 360° BIGGEST TSUNAMI WAVE HITS THE CITY,180,264,8827087,24965,296,VR Planet - Stories 360,98000
ycV7iFG_l-U,10 Awesome Things you Can do in VR Other Than Gaming!,654,1684,1329872,12587,534,Oskar,60500
Qsna1ChGt0E,How Scary is the Paranormal Activity VR Game?,407,3474,10617062,85028,7782,IGN,19400000
bt0Yc3GwWR0,Playing GANG BEASTS in Virtual Reality - Bonelab VR Mods,613,708,5504835,33177,374,Fudgy,4160000
UX4Qps_VyWI,How My First VR Game Saved Virtual Reality,634,1134,1535972,17420,1087,Rye,179000
SqC5pmndV5o,Free Spider-Man VR Games You Can Play On Quest 3 And 3S,347,323,1103061,12227,434,Nathie,794000
qqRqvPQ7Jds,50 Free VR Games on Quest 2 and Quest 3,2865,148,329001,4519,356,Face Toaster,7180
PsZbJf1BOC0,VirZoom lets you play virtual reality games while you exercise,161,3596,55091,700,51,The Verge,3470000
212hF_DVQLs,Scary Minecraft in Virtual Reality,2371,72,1210254,13319,1014,Kiply,2930000
CdgiDUNhrwA,RIPPING Tiny Person Apart in Virtual Reality - Davigo VR Gameplay,678,670,1488170,12344,123,Fudgy,4160000
qrSZvvxOmTc,Playstation VR2 - Step Into Virtual Reality!,932,932,2667724,29510,852,Venom's Tech,1340000
WiVGR1Up1dw,The Best FREE VR Games That You NEED To Try,504,414,392852,5185,360,Xifo,197000
